date,product_code,product,variant,sold_quantity,gross_price_total
01/09/2020,A1521150601,AQ Electron 3 3600 Desktop Processor,Standard,82,15275.92
01/09/2020,A1521150602,AQ Electron 3 3600 Desktop Processor,Plus,168,31157.26
01/09/2020,A1618150101,AQ MB Elite,Standard,117,2298.87
01/09/2020,A1618150102,AQ MB Elite,Plus 1,141,2885.27
01/09/2020,A1618150103,AQ MB Elite,Plus 2,43,911.67
01/09/2020,A1618150104,AQ MB Elite,Premium,67,1437.08
01/09/2020,A1718150201,AQ MB Crossx,Standard,37,809.85
01/09/2020,A1718150202,AQ MB Crossx,Plus 1,102,2335.36
01/09/2020,A1718150203,AQ MB Crossx,Plus 2,110,3007.9
01/09/2020,A1718150204,AQ MB Crossx,Premium,32,908.77
01/09/2020,A1819150301,AQ MB Crossx 2,Standard,20,577.23
01/09/2020,A1819150302,AQ MB Crossx 2,Plus 1,38,1214.2
01/09/2020,A1819150303,AQ MB Crossx 2,Plus 2,48,1545.24
01/09/2020,A1819150304,AQ MB Crossx 2,Premium,84,2709.94
01/09/2020,A1919150401,AQ MB Lito,Standard,103,3477.37
01/09/2020,A1919150402,AQ MB Lito,Plus 1,144,5043.69
01/09/2020,A1919150403,AQ MB Lito,Plus 2,54,1935.09
01/09/2020,A1920150404,AQ MB Lito,Premium,81,3157.22
01/09/2020,A2020150501,AQ MB Lito 2,Standard,143,5915.85
01/09/2020,A2020150502,AQ MB Lito 2,Plus 1,115,4530.22
01/09/2020,A2021150503,AQ MB Lito 2,Plus 2,17,772.44
01/09/2020,A2118150101,AQ Master wired x1 Ms,Standard 1,537,1580.61
01/09/2020,A2118150102,AQ Master wired x1 Ms,Standard 2,177,707.96
01/09/2020,A2118150103,AQ Master wired x1 Ms,Plus 1,383,1734.8
01/09/2020,A2118150104,AQ Master wired x1 Ms,Plus 2,433,2184.87
01/09/2020,A2118150105,AQ Master wired x1 Ms,Premium 1,844,3958.7
01/09/2020,A2118150106,AQ Master wired x1 Ms,Premium 2,944,4959.96
01/09/2020,A2218150201,AQ Master wireless x1 Ms,Standard 1,129,701.54
01/09/2020,A2218150202,AQ Master wireless x1 Ms,Standard 2,218,1396.38
01/09/2020,A2219150203,AQ Master wireless x1 Ms,Plus 1,686,4616.85
01/09/2020,A2219150204,AQ Master wireless x1 Ms,Plus 2,749,5507.1
01/09/2020,A2219150205,AQ Master wireless x1 Ms,Premium 1,969,7733.88
01/09/2020,A2219150206,AQ Master wireless x1 Ms,Premium 2,578,4808.56
01/09/2020,A2319150301,AQ Gamers Ms,Standard 1,765,6735.37
01/09/2020,A2319150302,AQ Gamers Ms,Standard 2,537,4827.68
01/09/2020,A2319150303,AQ Gamers Ms,Plus 1,888,8345.16
01/09/2020,A2319150304,AQ Gamers Ms,Plus 2,466,4873.1
01/09/2020,A2319150305,AQ Gamers Ms,Premium 1,516,5385.49
01/09/2020,A2319150306,AQ Gamers Ms,Premium 2,200,2173.18
01/09/2020,A2419150401,AQ Lite Ms,Standard 1,181,2078.4
01/09/2020,A2419150402,AQ Lite Ms,Standard 2,218,2459.45
01/09/2020,A2419150403,AQ Lite Ms,Plus 1,310,3376.68
01/09/2020,A2419150404,AQ Lite Ms,Plus 2,144,1675.18
01/09/2020,A2419150405,AQ Lite Ms,Premium 1,495,6307.44
01/09/2020,A2420150406,AQ Lite Ms,Premium 2,302,3713.97
01/09/2020,A2520150501,AQ Maxima Ms,Standard 1,1036,12503.38
01/09/2020,A2520150502,AQ Maxima Ms,Standard 2,903,13117.61
01/09/2020,A2520150503,AQ Maxima Ms,Plus 1,872,12354.67
01/09/2020,A2520150504,AQ Maxima Ms,Plus 2,709,10124.52
01/09/2020,A2520150505,AQ Maxima Ms,Premium 1,497,7542.57
01/09/2020,A2520150506,AQ Maxima Ms,Premium 2,973,14174.37
01/09/2020,A2620150601,AQ Qwerty Ms,Standard 1,570,8493.74
01/09/2020,A2620150602,AQ Qwerty Ms,Standard 2,664,10497.97
01/09/2020,A2620150603,AQ Qwerty Ms,Plus 1,915,14620.97
01/09/2020,A2620150604,AQ Qwerty Ms,Plus 2,433,7165.76
01/09/2020,A2620150605,AQ Qwerty Ms,Premium 1,200,3317.64
01/09/2020,A2620150606,AQ Qwerty Ms,Premium 2,688,11548.08
01/09/2020,A2720150701,AQ Trigger Ms,Standard 1,822,14049.38
01/09/2020,A2721150702,AQ Trigger Ms,Standard 2,171,2947.49
01/09/2020,A2721150703,AQ Trigger Ms,Plus 1,331,5605.58
01/09/2020,A2721150704,AQ Trigger Ms,Plus 2,472,9244.59
01/09/2020,A2721150705,AQ Trigger Ms,Premium 1,1021,19811.69
01/09/2020,A2721150706,AQ Trigger Ms,Premium 2,404,8101.69
01/09/2020,A2821150801,AQ Lumina Ms,Standard 1,314,6817.51
01/09/2020,A2918150101,AQ Master wired x1,Standard 1,373,2573.36
01/09/2020,A2918150102,AQ Master wired x1,Standard 2,296,2248.98
01/09/2020,A2918150103,AQ Master wired x1,Plus 1,290,2253.1
01/09/2020,A2918150104,AQ Master wired x1,Plus 2,239,2139.38
01/09/2020,A2918150105,AQ Master wired x1,Premium 1,364,3445.26
01/09/2020,A2918150106,AQ Master wired x1,Premium 2,602,6272.12
01/09/2020,A3018150201,AQ Master wireless x1,Standard 1,649,7006.28
01/09/2020,A3018150202,AQ Master wireless x1,Standard 2,876,9681.9
01/09/2020,A3018150203,AQ Master wireless x1,Plus 1,635,7857.43
01/09/2020,A3019150204,AQ Master wireless x1,Plus 2,202,2343.42
01/09/2020,A3019150205,AQ Master wireless x1,Premium 1,260,3133.23
01/09/2020,A3019150206,AQ Master wireless x1,Premium 2,266,3458.48
01/09/2020,A3119150301,AQ Gamers ,Standard 1,560,7563.42
01/09/2020,A3119150302,AQ Gamers ,Standard 2,396,6061.61
01/09/2020,A3119150303,AQ Gamers ,Plus 1,387,6285.15
01/09/2020,A3120150304,AQ Gamers ,Plus 2,831,13611.12
01/09/2020,A3120150305,AQ Gamers ,Premium 1,609,9939.98
01/09/2020,A3120150306,AQ Gamers ,Premium 2,194,3744.26
01/09/2020,A3220150401,AQ Lite,Standard 1,197,3643.38
01/09/2020,A3220150402,AQ Lite,Standard 2,275,5168.54
01/09/2020,A3220150403,AQ Lite,Plus 1,781,14514.42
01/09/2020,A3220150404,AQ Lite,Plus 2,861,15861.26
01/09/2020,A3220150405,AQ Lite,Premium 1,224,4242.9
01/09/2020,A3220150406,AQ Lite,Premium 2,451,9022.98
01/09/2020,A3320150501,AQ Maxima,Standard 1,195,3976.21
01/09/2020,A3320150502,AQ Maxima,Standard 2,172,3732.19
01/09/2020,A3320150503,AQ Maxima,Plus 1,637,13296.29
01/09/2020,A3320150504,AQ Maxima,Plus 2,723,16002.95
01/09/2020,A3320150505,AQ Maxima,Premium 1,576,13296.61
01/09/2020,A3320150506,AQ Maxima,Premium 2,530,12596.93
01/09/2020,A3420150601,AQ Qwerty,Standard 1,375,9213.38
01/09/2020,A3420150602,AQ Qwerty,Standard 2,206,4938.36
01/09/2020,A3421150603,AQ Qwerty,Plus 1,579,15604.46
01/09/2020,A3421150604,AQ Qwerty,Plus 2,114,3125.33
01/09/2020,A3421150605,AQ Qwerty,Premium 1,417,12455.46
01/09/2020,A3421150606,AQ Qwerty,Premium 2,368,10918.89
01/09/2020,A3521150701,AQ Trigger,Standard 1,92,2703.62
01/09/2020,A3521150702,AQ Trigger,Standard 2,389,11802.8
01/09/2020,A3521150703,AQ Trigger,Plus 1,444,14104.33
01/09/2020,A3521150704,AQ Trigger,Plus 2,137,4606.57
01/09/2020,A3521150705,AQ Trigger,Premium 1,796,27471.07
01/09/2020,A3718150101,AQ LION x1,Standard,34,561.43
01/09/2020,A3718150102,AQ LION x1,Plus 1 ,25,402.54
01/09/2020,A3718150103,AQ LION x1,Plus 2,28,491.95
01/09/2020,A3718150105,AQ LION x1,Premium,51,919.59
01/09/2020,A3818150201,AQ LION x2,Standard,78,1346.65
01/09/2020,A3818150202,AQ LION x2,Plus 1 ,87,1524.21
01/09/2020,A3819150203,AQ LION x2,Plus 2,88,1623.89
01/09/2020,A3819150204,AQ LION x2,Plus 3,28,593.44
01/09/2020,A3819150205,AQ LION x2,Premium,55,1188.36
01/09/2020,A3920150301,AQ LION x3,Standard,69,1528.03
01/09/2020,A3920150302,AQ LION x3,Plus 1 ,33,764.02
01/09/2020,A3920150303,AQ LION x3,Plus 2,79,2011.89
01/09/2020,A3920150304,AQ LION x3,Plus 3,75,1878.32
01/09/2020,A3920150305,AQ LION x3,Premium,66,1812
01/09/2020,A4020150401,AQ Mx NB,Standard,31,834.84
01/09/2020,A4020150402,AQ Mx NB,Plus 1 ,23,654.35
01/09/2020,A4021150403,AQ Mx NB,Plus 2,52,1557
01/09/2020,A4021150404,AQ Mx NB,Plus 3,75,2143.5
01/09/2020,A4021150405,AQ Mx NB,Premium,36,1141.3
01/09/2020,A4118110105,AQ Aspiron,Plus Blue,22,4023.65
01/09/2020,A4118110106,AQ Aspiron,Plus Red,9,1689.78
01/09/2020,A4118110107,AQ Aspiron,Premium Black,20,3915.44
01/09/2020,A4218110201,AQ Digit,Standard Grey,11,2203.01
01/09/2020,A4218110202,AQ Digit,Standard Blue,9,1943.41
01/09/2020,A4218110203,AQ Digit,Standard Red,11,2605.33
01/09/2020,A4218110204,AQ Digit,Plus Grey,27,6266.8
01/09/2020,A4218110205,AQ Digit,Plus Blue,40,9605.61
01/09/2020,A4218110206,AQ Digit,Plus Red,15,3555.27
01/09/2020,A4218110207,AQ Digit,Premium Black,26,6477.39
01/09/2020,A4218110208,AQ Digit,Premium Misty Green,34,8263.41
01/09/2020,A4318110301,AQ Velocity,Standard Grey,29,7676.3
01/09/2020,A4319110302,AQ Velocity,Standard Blue,38,10153.95
01/09/2020,A4319110303,AQ Velocity,Standard Red,36,9404.3
01/09/2020,A4319110304,AQ Velocity,Plus Grey,40,10682.54
01/09/2020,A4319110305,AQ Velocity,Plus Blue,23,6389.58
01/09/2020,A4319110306,AQ Velocity,Plus Red,29,7998.76
01/09/2020,A4419110401,AQ Elite,Standard Grey,9,2442.12
01/09/2020,A4419110402,AQ Elite,Standard Blue,37,10432.16
01/09/2020,A4419110403,AQ Elite,Standard Red,16,4608.8
01/09/2020,A4419110404,AQ Elite,Plus Grey,29,8320.02
01/09/2020,A4419110405,AQ Elite,Plus Blue,15,4368.11
01/09/2020,A4419110406,AQ Elite,Plus Red,9,2588.1
01/09/2020,A4419110407,AQ Elite,Premium Black,12,3449.92
01/09/2020,A4419110408,AQ Elite,Premium Misty Green,19,5643.53
01/09/2020,A4519110501,AQ Gen X,Standard Grey,31,9667.03
01/09/2020,A4519110502,AQ Gen X,Standard Blue,40,12013.51
01/09/2020,A4519110503,AQ Gen X,Standard Red,21,6445.3
01/09/2020,A4520110504,AQ Gen X,Plus Grey,22,7518.15
01/09/2020,A4520110505,AQ Gen X,Plus Blue,24,7805.17
01/09/2020,A4520110506,AQ Gen X,Plus Red,35,11383.96
01/09/2020,A4520110507,AQ Gen X,Premium Black,29,9365.34
01/09/2020,A4520110508,AQ Gen X,Premium Misty Green,28,9158.6
01/09/2020,A4620110601,AQ Gen Y,Standard Grey,31,10764.67
01/09/2020,A4620110602,AQ Gen Y,Standard Blue,10,3466.89
01/09/2020,A4620110603,AQ Gen Y,Standard Red,8,2928.37
01/09/2020,A4620110604,AQ Gen Y,Plus Grey,11,3884.08
01/09/2020,A4620110605,AQ Gen Y,Plus Blue,16,5588.04
01/09/2020,A4620110606,AQ Gen Y,Plus Red,33,11501.74
01/09/2020,A4620110607,AQ Gen Y,Premium Black,20,6956.06
01/09/2020,A4620110608,AQ Gen Y,Premium Misty Green,27,9802.7
01/09/2020,A4720110701,AQ GEN Z,Standard Grey,10,3677.34
01/09/2020,A4720110702,AQ GEN Z,Standard Blue,17,6313.85
01/09/2020,A4721110703,AQ GEN Z,Standard Red,13,4701.44
01/09/2020,A4721110704,AQ GEN Z,Plus Grey,38,14448.18
01/09/2020,A4721110705,AQ GEN Z,Plus Blue,11,4151.48
01/09/2020,A4918110101,AQ BZ 101,Standard Grey,13,5449.52
01/09/2020,A4918110102,AQ BZ 101,Standard Blue,10,4514.88
01/09/2020,A4918110103,AQ BZ 101,Premium Black,28,11988.06
01/09/2020,A4918110104,AQ BZ 101,Premium Misty Green,15,6904.21
01/09/2020,A5018110201,AQ BZ Compact,Standard Grey,17,7678.98
01/09/2020,A5018110202,AQ BZ Compact,Standard Blue,16,7400.91
01/09/2020,A5018110203,AQ BZ Compact,Standard Red,10,4521.42
01/09/2020,A5018110204,AQ BZ Compact,Plus Grey,14,6268.27
01/09/2020,A5018110205,AQ BZ Compact,Plus Blue,24,11668.23
01/09/2020,A5018110206,AQ BZ Compact,Plus Red,27,12839.97
01/09/2020,A5018110207,AQ BZ Compact,Premium Black,17,8078.24
01/09/2020,A5019110208,AQ BZ Compact,Premium Misty Green,19,8878.79
01/09/2020,A5119110301,AQ BZ Gen Y,Standard Grey,10,4790.44
01/09/2020,A5119110302,AQ BZ Gen Y,Standard Blue,24,11383.52
01/09/2020,A5119110303,AQ BZ Gen Y,Standard Red,23,10909.25
01/09/2020,A5119110305,AQ BZ Gen Y,Plus Blue,7,3383.67
01/09/2020,A5119110306,AQ BZ Gen Y,Plus Red,26,12648.63
01/09/2020,A5119110307,AQ BZ Gen Y,Premium Black,27,13944.37
01/09/2020,A5119110308,AQ BZ Gen Y,Premium Misty Green,9,4613.23
01/09/2020,A5219110401,AQ BZ Gen Z,Standard Grey,27,13688.04
01/09/2020,A5219110402,AQ BZ Gen Z,Standard Blue,20,9803.16
01/09/2020,A5219110403,AQ BZ Gen Z,Standard Red,12,6309.65
01/09/2020,A5219110405,AQ BZ Gen Z,Plus Blue,11,5733.86
01/09/2020,A5219110406,AQ BZ Gen Z,Plus Red,18,9908.27
01/09/2020,A5219110407,AQ BZ Gen Z,Premium Black,22,12003.05
01/09/2020,A5220110408,AQ BZ Gen Z,Premium Misty Green,12,6396.48
01/09/2020,A5318110103,AQ Gamer 1,Standard Black,6,3509.83
01/09/2020,A5318110104,AQ Gamer 1,Plus Firey Red,9,5277.44
01/09/2020,A5318110105,AQ Gamer 1,Plus Cool Blue,8,4410.64
01/09/2020,A5318110106,AQ Gamer 1,Plus Black,14,7922.25
01/09/2020,A5318110107,AQ Gamer 1,Premium Black,8,4573.19
01/09/2020,A5318110108,AQ Gamer 1,Premium Misty Green,17,9854.24
01/09/2020,A5419110201,AQ Gamer 2,Standard Firey Red,11,6435
01/09/2020,A5419110202,AQ Gamer 2,Standard Cool Blue,6,3407.56
01/09/2020,A5419110203,AQ Gamer 2,Standard Black,14,8338
01/09/2020,A5419110204,AQ Gamer 2,Plus Firey Red,5,3014.6
01/09/2020,A5419110205,AQ Gamer 2,Plus Cool Blue,7,3995.3
01/09/2020,A5419110206,AQ Gamer 2,Plus Black,4,2406.56
01/09/2020,A5419110207,AQ Gamer 2,Premium Black,5,2996.15
01/09/2020,A5419110208,AQ Gamer 2,Premium Misty Green,4,2433.63
01/09/2020,A5519110301,AQ Gamer 3,Standard Firey Red,3,1769.22
01/09/2020,A5519110302,AQ Gamer 3,Standard Cool Blue,13,7876.23
01/09/2020,A5519110303,AQ Gamer 3,Standard Black,4,2417.09
01/09/2020,A5519110304,AQ Gamer 3,Plus Firey Red,6,3586.62
01/09/2020,A5520110305,AQ Gamer 3,Plus Cool Blue,6,3794.93
01/09/2020,A5520110306,AQ Gamer 3,Plus Black,14,8955.54
01/09/2020,A5520110307,AQ Gamer 3,Premium Black,5,3048.96
01/09/2020,A5520110308,AQ Gamer 3,Premium Misty Green,11,6491.27
01/09/2020,A5620110401,AQ Smash 1,Standard Firey Red,8,5136.56
01/09/2020,A5620110402,AQ Smash 1,Standard Cool Blue,8,4750.64
01/09/2020,A5621110403,AQ Smash 1,Standard Black,13,8205.41
01/09/2020,A5621110404,AQ Smash 1,Plus Firey Red,15,9599.42
01/09/2020,A5621110405,AQ Smash 1,Plus Cool Blue,12,7221.81
01/09/2020,A5621110406,AQ Smash 1,Plus Black,10,6443.78
01/09/2020,A5621110407,AQ Smash 1,Premium Black,10,6557.78
01/09/2020,A5621110408,AQ Smash 1,Premium Misty Green,14,9201.54
01/09/2020,A5721110501,AQ Smash 2,Standard Firey Red,7,4547.85
01/09/2020,A5721110502,AQ Smash 2,Standard Cool Blue,13,8163.92
01/09/2020,A5721110503,AQ Smash 2,Standard Black,7,4748.12
01/09/2020,A5721110504,AQ Smash 2,Plus Firey Red,15,9837.52
01/09/2020,A5721110505,AQ Smash 2,Plus Cool Blue,6,4046.56
01/09/2020,A5721110506,AQ Smash 2,Plus Black,6,4323.28
01/09/2020,A5820110101,AQ BZ Allin1,Standard 1,27,18395.16
01/09/2020,A5820110102,AQ BZ Allin1,Standard 2,28,19531.51
01/09/2020,A5820110103,AQ BZ Allin1,Standard 3,10,7351.47
01/09/2020,A5820110104,AQ BZ Allin1,Plus 1,22,15190.94
01/09/2020,A5820110105,AQ BZ Allin1,Plus 2,19,13478.46
01/09/2020,A5820110106,AQ BZ Allin1,Plus 3,14,9695.34
01/09/2020,A5820110107,AQ BZ Allin1,Premium 1,11,8114.45
01/09/2020,A5821110108,AQ BZ Allin1,Premium 2,18,13441.3
01/09/2020,A6018110101,AQ Home Allin1,Standard 1,1,800.46
01/09/2020,A6018110102,AQ Home Allin1,Standard 2,5,3820.27
01/09/2020,A6018110103,AQ Home Allin1,Standard 3,6,4625.87
01/09/2020,A6018110104,AQ Home Allin1,Plus 1,5,3745.49
01/09/2020,A6018110105,AQ Home Allin1,Plus 2,2,1533.29
01/09/2020,A6018110106,AQ Home Allin1,Plus 3,6,4725.52
01/09/2020,A6019110107,AQ Home Allin1,Premium 1,4,3143.97
01/09/2020,A6019110108,AQ Home Allin1,Premium 2,5,3983.3
01/09/2020,A6119110201,AQ HOME Allin1 Gen 2,Standard 1,2,1648.18
01/09/2020,A6119110202,AQ HOME Allin1 Gen 2,Standard 2,3,2370.31
01/09/2020,A6119110203,AQ HOME Allin1 Gen 2,Standard 3,4,3078.25
01/09/2020,A6119110204,AQ HOME Allin1 Gen 2,Plus 1,2,1614.53
01/09/2020,A6120110205,AQ HOME Allin1 Gen 2,Plus 2,2,1669.96
01/09/2020,A6120110206,AQ HOME Allin1 Gen 2,Plus 3,4,3242.41
01/09/2020,A6218160101,AQ Digit SSD,Standard,139,1889.58
01/09/2020,A6218160102,AQ Digit SSD,Plus,476,7258.1
01/09/2020,A6219160103,AQ Digit SSD,Premium,310,5053.09
01/09/2020,A6319160201,AQ Neuer SSD,Standard,316,5485.44
01/09/2020,A6319160202,AQ Neuer SSD,Plus,730,13558.51
01/09/2020,A6319160203,AQ Neuer SSD,Premium,911,17621.75
01/09/2020,A6419160301,AQ Clx1,Standard,799,14225.64
01/09/2020,A6419160302,AQ Clx1,Plus,204,4013.15
01/09/2020,A6419160303,AQ Clx1,Premium,1028,19875.56
01/09/2020,A6519160401,AQ Clx2,Standard,705,14303.67
01/09/2020,A6520160402,AQ Clx2,Plus,582,11736.03
01/09/2020,A6520160403,AQ Clx2,Premium,984,20942.47
01/09/2020,A6620160501,AQ Clx3,Standard,732,16728.4
01/09/2020,A6720160103,AQ Pen Drive 2 IN 1,Premium,194,861.57
01/09/2020,A6818160201,AQ Pen Drive DRC,Standard,1697,5089.3
01/09/2020,A6818160202,AQ Pen Drive DRC,Plus,855,3294.4
01/09/2020,A6819160203,AQ Pen Drive DRC,Premium,1556,7933.11
01/09/2020,A7118160101,AQ Wi Power Dx1,Standard,528,15666.39
01/09/2020,A7119160102,AQ Wi Power Dx1,Plus,619,18524.44
01/09/2020,A7119160103,AQ Wi Power Dx1,Premium,480,13811.33
01/09/2020,A7219160201,AQ Wi Power Dx2,Standard,616,20301.82
01/09/2020,A7220160202,AQ Wi Power Dx2,Plus,96,3379.71
01/09/2020,A7220160203,AQ Wi Power Dx2,Premium,350,13117.44
01/09/2020,A7321160301,AQ Wi Power Dx3,Standard,272,11096.35
01/09/2020,A7321160302,AQ Wi Power Dx3,Plus,507,22279.91
01/09/2020,A7321160303,AQ Wi Power Dx3,Premium,190,8141.18
01/10/2020,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,95,1810.44
01/10/2020,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,237,5085.19
01/10/2020,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,102,2221.51
01/10/2020,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,276,6340.52
01/10/2020,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,164,3886.59
01/10/2020,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,97,2398.93
01/10/2020,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,306,7226.31
01/10/2020,A0320150301,AQ Zion Saga,Standard,205,4863.07
01/10/2020,A0321150302,AQ Zion Saga,Plus,135,3658.86
01/10/2020,A0321150303,AQ Zion Saga,Premium,249,6973.47
01/10/2020,A0418150103,AQ Mforce Gen X,Standard 3,220,4295.17
01/10/2020,A0418150104,AQ Mforce Gen X,Plus 1,226,4502.8
01/10/2020,A0418150105,AQ Mforce Gen X,Plus 2,248,4979
01/10/2020,A0418150106,AQ Mforce Gen X,Plus 3,75,1495.24
01/10/2020,A0519150201,AQ Mforce Gen Y,Standard 1,82,1836.67
01/10/2020,A0519150202,AQ Mforce Gen Y,Standard 2,49,1221.56
01/10/2020,A0519150203,AQ Mforce Gen Y,Standard 3,193,5131.31
01/10/2020,A0519150204,AQ Mforce Gen Y,Plus 1,193,5038.86
01/10/2020,A0519150205,AQ Mforce Gen Y,Plus 2,216,6415.37
01/10/2020,A0519150206,AQ Mforce Gen Y,Plus 3,136,4249.17
01/10/2020,A0519150207,AQ Mforce Gen Y,Premium 1,123,3990.45
01/10/2020,A0519150208,AQ Mforce Gen Y,Premium 2,219,6697.37
01/10/2020,A0619150301,AQ Mforce Gen Z,Standard 1,45,1371.13
01/10/2020,A0619150302,AQ Mforce Gen Z,Standard 2,29,988.82
01/10/2020,A0620150303,AQ Mforce Gen Z,Standard 3,93,3184.43
01/10/2020,A0620150304,AQ Mforce Gen Z,Plus 1,242,9094.99
01/10/2020,A0620150305,AQ Mforce Gen Z,Plus 2,231,8447.18
01/10/2020,A0620150306,AQ Mforce Gen Z,Plus 3,231,8668.92
01/10/2020,A0621150307,AQ Mforce Gen Z,Premium 1,47,1703.44
01/10/2020,A0621150308,AQ Mforce Gen Z,Premium 2,235,9258.77
01/10/2020,A0721150401,AQ GT 21,Standard,218,8575.62
01/10/2020,A0721150402,AQ GT 21,Plus 1,43,1683.3
01/10/2020,A0721150403,AQ GT 21,Plus 2,184,7231.02
01/10/2020,A0721150404,AQ GT 21,Premium,64,2503.78
